,Name,Mass (MJ),Radius (RJ),Period (days),Semi-major axis (AU),Temp. (K),Discovery method,Distance (ly),Host star mass (M☉),Host star temp. (K),Remarks
114,Kepler-1993 b,,0.3949511704,26.65660095,,,transit,,1.373 +0.205−0.512,5159 +171−155,[47]
115,Kepler-1994 b,,0.0555001398,4.612319946,,,transit,,0.932 +0.052−0.047,5495 +74−82,[47]
116,Kepler-1995 b,,0.4119018693,73.75779724,,,transit,,0.847 +0.068−0.049,5029 +192−174,[47]
117,Kepler-1996 b,,0.204657316,32.37609863,,,transit,,0.748 +0.027−0.043,4580±92,[47]
118,Kepler-1996 c,,0.2509594797,92.72949982,,,transit,,0.748 +0.027−0.043,4580±92,[47]
119,Kepler-1997 b,,0.2179502440,26.75749969,,,transit,,1.111±0.153,6215 +194−259,[47]
120,Kepler-1998 b,,0.0619324805,3.03263998,,,transit,,0.962 +0.054−0.068,5640 +101−113,[47]
121,Kepler-1999 b,,0.3169779722,8.739450455,,,transit,,0.632 +0.063−0.057,4406 +154−170,[47]
122,Kepler-2000 b,,0.2961910652,6.383150101,,,transit,,0.581±0.029,3757 +74−82,[47]
123,Kepler-2000 c,,0.1963604037,20.6182003,,,transit,,0.581±0.029,3757 +74−82,[47]
124,Kepler-2001 b,,0.1062540847,1.190999985,,,transit,,0.864 +0.049−0.085,5081 +166−136,[47]
125,Kepler-2001 c,,0.3639938397,14.09449959,,,transit,,0.864 +0.049−0.085,5081 +166−136,[47]
126,KMT-2016-BLG-0625L b,0.05±0.04,,,1.40±0.17,,microlensing,21000±2000,0.25±0.14,,[50]
127,KMT-2016-BLG-1105L b,0.00415±0.00176,,,2.26+0.51−0.69,,microlensing,10665+4175−3751,0.43±0.18,,[51]
128,KMT-2016-BLG-1751L b,1.20±1.21,,,1.39±0.50,,microlensing,23000±4000,0.18±0.18,,[50]
129,KMT-2017-BLG-0428L b,0.0175+0.0111−0.0088,,,1.85+0.55−0.60,,microlensing,17612+5936−8480,0.34+0.22−0.17,,[51]
130,KMT-2017-BLG-1003L b,0.0117+0.0117−0.0057,,,1.25+0.27−0.25,,microlensing,23353+1990−2120,0.27+0.26−0.13,,[51]
131,KMT-2017-BLG-1194L b,0.0111+0.0061−0.0051,,,1.78+0.45−0.46,,microlensing,13829+7045−5577,0.41+0.23−0.19,,[51]
132,KMT-2019-BLG-0298L b,1.81±0.96,,,5.67±2.70,,microlensing,22000±5000,0.70±0.37,,[52]
133,KMT-2019-BLG-1216L b,0.094±0.050,,,2.44±1.12,,microlensing,9000±3000,0.39±0.21,,[52]
134,KMT-2019-BLG-1367L b,0.0128+0.0081−0.0065,,,1.70+0.50−0.56,,microlensing,15231+7990−6849,0.25+0.16−0.13,,[51]
135,KMT-2019-BLG-1806L b,0.0147±0.0048,,,2.87+0.64−0.66,,microlensing,21592+2348−6295,0.75+0.24−0.25,,[51]
136,KMT-2019-BLG-2783L b,1.16±0.77,,,1.85±0.93,,microlensing,19000±5000,0.34±0.25,,[52]
137,KMT-2021-BLG-0712L b,0.1255+0.0648−0.0374,,,2.29+0.64−0.42,,microlensing,10437+2968−2188,0.23+0.12−0.07,,[53]
138,KMT-2021-BLG-0909L b,1.26+1.01−0.66,,,1.75±0.42,,microlensing,21134+3262−4501,0.38+0.30−0.20,,[53]
139,KMT-2021-BLG-1105L b,1.30±0.68,,,3.54±1.06,,microlensing,14807±5447,0.63±0.33,,[53]
140,KMT-2021-BLG-2010 b,1.07+1.15−0.68,,,1.79+0.30−0.38,,microlensing,23000+4000−5000,0.37+0.4−0.23,,Multiple orbital solutions[54]
141,KMT-2021-BLG-2478L b,0.900+0.420−0.240,,,1.85±0.31,,microlensing,9687±2348,0.20+0.10−0.05,,[53]
